"meeting_view_duplicate_phone_list";"Visualiser les RDVs avec même téléphone"
"meeting_view_duplicate_mobile_list";"Visualiser les RDVs avec même mobile"
"meeting_view_duplicate_phone_confirmed_list";"Visualiser les RDVs confirmés avec même téléphone"
"meeting_comments_list_log";"Visualiser la liste des commentaires log"
"meeting_new_telepro_select";"Nouveau RDV choix télépro"
"meeting_new_sale1_select";"Nouveau RDV choix commercial1"
"meeting_new_sale2_select";"Nouveau RDV choix commercial2"
"meeting_new_telepro_as_user";"Nouveau RDV télépro = utilisateur"
"meeting_new_assistant_as_user";"Nouveau RDV assistant = utilisateur"
"meeting_select_telepro_manager_as_user";"Choix responsable télépro"
"meeting_select_sales_manager_as_user";"Choix responsable commercial"
"meeting_view_assistant_as_user";"Edition RDV assistant = utilisateur"
"meeting_view_telepro_as_user";"Edition RDV télépro = utilisateur"
"meeting_view_telepro_select";"Edition RDV choix télépro"
"meeting_view_sale1_select";"Edition RDV choix commercial1"
"meeting_view_sale2_select";"Edition RDV choix commercial2"
"statistics_ratios_plus";"Statistiques Ratios 2"
"meeting_view_list_created_date";"Afficher la date de prise du RDV dans la liste"
"meeting_view_list_creation_date";"Afficher la date de création du RDV dans la liste"
"meeting_export_csv_treated_date";"Exporter date de traitement de RDV"
"meeting_export_csv_created_date";"Exporter date de prise de RDV"
"meeting_filter_options_date_creation";"RDV:Filtre date de création"
"meeting_filter_options_date_treated";"RDV:Filtre date de traitement"
"filter_statistic_ratios2_telepro_manager";"filtre statistique ratios2 comme resp. télépro"
"filter_statistic_ratios2_sales_manager";"filtre statistique ratios2 comme resp. commerciaux"
"filter_statistic_ratios2_assistant";"filtre statistique ratios2 comme assistant"
"meeting_statistic_ratios2_filter_list_assistant";"statistiques ratios2 filtre assistant"
"meeting_filter_statistics_ratios2_options_date_treated";"Afficher la date de prise du RDV dans statistiques Ratios2"
"meeting_filter_statistics_ratios2_options_date_creation";"Afficher la date de création du RDV dans statistiques Ratios2"
"meeting_export_csv_deleted_status";"Exporter les RDV supprimés"
"meeting_export_csv_status";"Exporter le statut des RDVs"
"meeting_view_no_telepro";"Editer RDV pas de télépro"
"meeting_new_no_telepro";"Nouveau RDV pas de télépro"
"meeting_view_no_sale1";"Editer RDV pas de commercial1"
"meeting_view_no_sale2";"Editer RDV pas de commercial2"
"meeting_view_states_for_user_as_assistant";"Utiliser rapports pour créer assistant dans RDV"
"sip_goautodial";"sip goautodial"
"sip_goautodialk26";"sip goautodialk26"
"users_filter_user_as_user_team";"filtre utilisateurs membre de son équipe"
"users_new_user_as_telepro_manager";"nouveau utilisateur comme responsable telepro"
"users_new_user_as_sales_manager";"nouveau utilisateur comme responsable commercial"
"meeting_filter_options_date_confirmed";"Filtre date de confirmation"
"settings_users_filter_permissions_users";"configurer permission filtre utilisateurs"
"settings_users_filter_permissions_teams";"configurer permission filtre équipes"
"meeting_view_confirmed_for_user_as_assistant";"affecter assistant lors d'un rendez vous confirmé"
"settings_contract_billing_options";"Configurer les paramètres de la facturation"
"contract_billing_view_list";"Visualiser la liste des factures dans le contrat"
"contract_billing_list";"Afficher les factures"
"contract_modify_company";"modifier la société dans le contrat"
"contract_view_company";"modifier la société dans le contrat"
"contract_new_company";"société dans le contrat"
"contract_new_closed_at";"date de fin du nouveau contrat"
"contract_modify_closed_at";"modifier la date de fin du contrat"
"contract_new_hastva";"nouveau contrat soumis à la tva"
"contract_modify_hastva";"modifier dans le contrat soumis à la tva"
"contract_view_closed_at";"visualiser la date de fin de contrat"
"meeting_modify_company";"modifier la société dans le RDV"
"meeting_new_company";"créer la société dans un nouveau RDV"
"meeting_view_company";"afficher la société dans le RDV"
"meeting_list_company";"afficher la société dans la liste"
"contract_list_company";"afficher la société dans la liste"
"contract_list_closed_at";"afficher la date de clôture"
"meeting_display_createdby";"afficher le créateur du RDV"
"meeting_modify_createdby";"modifier le créateur du RDV"
"meeting_export_createdby";"exporter le créateur du RDV"
"users_permissions_meeting_schedule_filter";"filtre utilisateurs pour le planning des RDV"
"settings_product_action_modify";"modifier l'action du produit"
"settings_product_action_display";"visualiser l'action du produit"
"settings_product_action_new";"créer l'action du produit"
"settings_product_action_list";"visualier l'action dans la liste des produits"
"settings_product_unit_modify";"modifier l'unité du produit"
"settings_product_unit_display";"visualiser l'unité du produit"
"settings_product_unit_new";"créer l'unité du produit"
"settings_product_unit_list";"visualier l'unité dans la liste des produits"
"settings_product_tva_modify";"modifier la tva du produit"
"settings_product_tva_display";"visualiser la tva du produit"
"settings_product_tva_new";"créer la tva du produit"
"settings_product_tva_list";"visualier la tva dans la liste des produits"
"settings_product_price_modify";"modifier le prix du produit"
"settings_product_price_display";"visualiser le prix du produit"
"settings_product_price_new";"créer le prix du produit"
"settings_product_price_list";"visualier le prix dans la liste des produits"
"contract_products_tva_list";"visualiser la tva dans la liste des produits dans le contrat"
"contract_products_tva_modify";"modifier la tva du produit dans le contrat"
"contract_products_tva_new";"créer la tva du produit dans le contrat"
"contract_products_saleprice_with_tax_list";"visualiser le prix de vente avec la tva dans la liste des produits dans le contrat"
"contract_products_saleprice_without_tax_modify";"modifier le prix de vente HT du produit dans le contrat"
"contract_products_saleprice_without_tax_new";"créer le prix de vente HT du produit dans le contrat"
"contract_products_saleprice_without_tax_list";"visualiser le prix de vente HT dans la liste des produits dans le contrat"
"contract_products_purchase_price_with_tax_list";"visualiser le prix d'achat avec la tva dans la liste des produits dans le contrat"
"contract_products_purchase_price_without_tax_modify";"modifier le prix d'achat du produit dans le contrat"
"contract_products_purchase_price_without_tax_new";"créer le prix d'achat du produit dans le contrat"
"contract_products_purchase_price_without_tax_list";"visualiser le prix d'achat HT dans la liste des produits dans le contrat"
"contract_products_unit_list";"visualiser l'unité dans la liste des produits dans le contrat"
"contract_products_quantity_list";"visualiser la quantité dans la liste des produits dans le contrat"
"contract_products_quantity_modify";"modifier la quantité du produit dans le contrat"
"contract_products_quantity_new";"créer la quantité du produit dans le contrat"
"contract_products_tax_list";"visualiser la TVA dans la liste des produits dans le contrat"
"contract_products_total_purchaseprice_with_tax_list";"visualiser le prix total d'achat avec la tva dans la liste des produits dans le contrat"
"contract_products_total_purchaseprice_without_tax_list";"visualiser le prix total d'achat HT dans la liste des produits dans le contrat"
"contract_products_total_saleprice_with_tax_list";"visualiser le prix total de vente avec la tva dans la liste des produits dans le contrat"
"contract_products_total_saleprice_without_tax_list";"visualiser le prix total de vente HT dans la liste des produits dans le contrat"
"meeting_view_as_assistant";"autoriser l'édition pour assistant"
"meeting_view_as_assistant";"autoriser l'édition pour assistant"
"contract_display_assistant";"afficher l'assistant dans le contrat"
"sip_goautodial_k26";"goautodial K26"
"meeting_export_createdby";"exporter le créateur de la fiche"
"meeting_modify_createdby";"modifier le créateur de la fiche"
"meeting_display_createdby";"afficher le créateur de la fiche"
"meeting_display_creation_date";"afficher la date de création de la fiche"
"meeting_new_assistant_user";"créer un utilisateur comme assistant"
"meeting_select_sale_manager_as_user";"meeting_select_sale_manager_as_user"
"meeting_view_list_createdby";"afficher la date de création de la fiche dans la liste"
"users_permissions_meeting_schedule_filter";"filtre des utilisateurs autorisés pour le planning"
"contract_view_advance_payment";"afficher une avance de paiement pour un contrat"
"contract_modify_advance_payment";"modifier une avance de paiement pour un contrat"
"users_permissions_contract_filter";"Filtrer par des utilisateurs autorisés par des permissions"
"total_price_with_taxe";"afficher le prix TTC"
"contract_view_list_assistant";"afficher la liste des assistant"
"contract_save";"enregistrer un client"
"contract_modify_assistant";"modifier un assistant au client"
"contract_documents";"Client:Fiche:Afficher les documents clients"
"meeting_view_date_rdv_minimum";"date de RDV minimum à aujourd'hui - edition"
"meeting_new_date_rdv_minimum";"date de RDV minimum à aujourd'hui - nouveau"
"user_activity";"Activité de l'utilisateur"
"meeting_export_csv_callcenter_status";"Exporter RDV rapport callcenter"
"meeting_export_csv_callcenter";"Exporter RDV callcenter"
"meeting_navigation";"Navigation dans la liste des fiches RDV"
"contracts_users_filter_permissions_users";"Client:Filtrer par des utilisateurs autorisés par des permissions"
"contracts_users_filter_permissions_teams";"Client:Filtrer par les équipes autorisées par les permissions"
"filter_contract_assistant_owner";"filtrer les contrats des assitants"
"filter_contract_assistant";"filtrer les contrats des assitants ou sans assistant"
"meeting_export_extended";"Exporter les Rendez vous (programmable)"
"user_logout";"Déconnexion d'un utilisateur"
"user_logout_scheduler";"Déconnexion forcée d'un utilisateur"
"settings_user_connexion";"Afficher les connexions d'un utilisateur"
"users_communication";"communications des utilisateurs"
"contract_modify_save";"enregistrer un client"
"tasks_meeting_modify";"Tâches : modifier le RDV"
"tasks_contract_modify";"Tâches : modifier le client"
"filter_dialog_contract_commercial";"Filtre commercial pour contrat - Dialogue"
